A,B,C,D,E,F
39,162.04,32,100.12,-64.7219,-35.8759
3,54.19,4,44.42,-44.5887,-40.1478
34,147.13,22,80.34,-32.649,-33.809
23,114.41,5,46.16,41.7233,16.8573
3,54.38,22,80.16,16.075,44.1655
16,93.27,26,88.03,-14.3078,-22.8973
12,81.38,2,40.5,46.3398,61.4949
34,147.19,0,36.55,-25.2763,-33.5427
29,132.53,30,96.53,3.2161,10.5193
30,135.49,37,110.28,-39.0179,-48.183
11,78.33,11,58.03,-14.0518,-15.606
23,114.3,33,102.22,-22.5,-38.9711
10,75.04,35,106.22,-28.1327,-66.2763
37,156.13,2,40.29,44.4911,87.3186
9,72.55,5,46.53,65.2803,52.8629
25,120.19,12,60.23,-5.87134,-18.0701
23,114.37,26,88.45,10.6658,19.2416
26,123.28,16,68.32,-17.0575,-19.6224
36,153.43,33,102.43,-22.8051,-74.5917
14,87.14,3,42.16,43.3013,25
27,126.09,31,98.25,9.37171,32.6829
20,105.54,25,86.11,53.4745,7.51534
30,135.5,10,56.51,14.8845,51.9081
1,48.49,10,56.26,7.06358,3.75577
8,69.15,15,66.07,38.8909,38.8909
24,117.53,38,112.32,9.45613,7.38793
34,147.38,34,104.04,39.0151,79.9926
15,90.48,21,78.56,-64.3478,-53.9941
16,93.32,6,48.26,-23.7049,-82.6685
7,65.97,33,102.26,9.8995,9.89949
19,102.23,4,44.05,-54.7652,-72.6758
27,126.25,31,98.19,-86.2842,-42.0836
20,105.43,32,100.48,10.233,33.4707
5,60.52,26,88.05,-21.6356,-70.7665
14,86.99,18,72.45,14.6425,32.8876
20,105.17,2,40.14,66.1863,22.7898
37,156.44,2,40.27,96.277,11.8213
2,51.02,5,46,36.4661,22.7865
21,108.04,15,66.55,-18.2768,-47.6126
28,129.35,28,92.53,50.9117,50.9117
21,108.31,0,36.42,-60.7226,-28.3154
10,75.28,1,38.16,-19.2484,-36.2008
29,132.1,35,106.09,28.0858,44.9465
2,51.21,14,63.97,9.13546,4.06736
20,105.48,38,112.27,-17.8964,-40.196
31,138.22,25,86.44,-5.37553,-14.0037
15,90.22,28,92.27,-33.385,-53.427
23,114.52,6,48.12,-65.46,-63.2139
38,159.34,26,88.14,-48.2556,-8.50875
20,105.16,36,108.26,8.82948,4.69471
24,117.15,25,86.4,-33.4566,-37.1572
10,74.97,4,44.11,30.8714,60.5884
26,123.07,6,48.56,-70.466,-28.4701
10,75.46,38,112.46,80.5346,20.0795
27,126.33,15,66.3,-38.1353,-74.8445
14,87.09,14,64.06,9.35496,21.0115
3,54.24,0,36.27,-69.6392,-46.9722
13,84.1,31,98.36,-38.5001,-66.6839
4,57.16,31,98,17.4098,11.743
16,93.56,38,112.36,-31.7208,-14.7916
16,93.19,4,44.51,-50.8059,-4.44494
21,108.05,25,86.29,72.4041,67.5178
4,57.15,12,60.05,0,0
20,105.35,17,70.21,-31.651,-30.5649
5,59.99,6,48.37,76.669,57.7742
32,140.98,20,76.22,67.7323,13.1658
34,146.99,39,114.56,27.232,41.9335
31,138.32,31,98.3,-29.6455,-9.06351
10,75.45,19,74.14,82.6842,7.23392
36,153.16,20,76.23,34.1542,16.6581
14,87.44,13,62.24,-27.742,-65.3558
4,57.51,8,52.38,35.5667,10.1986
33,144.38,32,100.11,6.7984,20.9232
24,117.31,24,84.03,-10.6027,-29.1305
6,63.05,13,62.19,8.60674,2.63134
2,51,35,106.29,14.7069,40.4068
2,51.18,23,82.16,-0.956305,-0.292371
2,51.44,2,40.35,-1.36197,-2.67302
20,105.51,36,108.3,71.8772,54.1633
2,51.3,31,98.07,48.7904,48.7903
25,120.21,22,79.99,3.12586,7.36404
32,140.99,35,106.26,-43.3315,-7.64051
3,54.33,3,42.49,45.8473,63.1033
3,54.01,13,62.16,29.4337,25.5863
28,129.34,18,72.2,47.5315,70.4682
9,72.43,39,114.32,-58.2194,-48.8518
15,90.38,14,64.37,-9.64735,-33.6441
8,69.21,17,70,55.7869,4.88072
8,69.11,14,64.48,6.8944,5.78508
3,54.07,35,106.46,27.5317,39.3193
29,132.4,5,46.12,24.2674,11.836
31,138.47,38,112.02,37.8152,68.2203
3,54.4,15,66.25,-2.33898,-7.65044
5,59.97,36,108.02,40.1504,57.3406
5,60.29,5,46.53,75.0718,56.5706
1,48.33,25,86.54,-74.5736,-44.8083
17,96.25,2,40.18,22.2672,29.5495
20,105.32,1,38.3,48.5231,6.81948
29,132.26,22,80.39,65.5965,36.3607
23,114.55,20,75.97,4.44627,12.216
18,99.07,18,72.41,-23.7944,-73.2313
24,117.07,22,80.04,29.2194,72.3203
6,63.03,28,91.97,48.0014,28.8421
33,144.51,10,55.98,-41.145,-56.6312
24,117.4,12,60.16,-71.0141,-41
30,135.54,25,86.37,-34.9063,-62.9726
39,162.47,24,84.22,-42.743,-34.6126
39,162.36,15,66,-25.529,-8.79033
35,150.34,4,44.01,80.6614,37.613
6,63.38,31,97.99,-18.928,-27.032
7,66.02,14,64.4,50.7874,35.5617
34,147.56,15,66.29,59.3339,63.6277
15,90.39,24,84.28,-30.0979,-82.6929
29,132.07,30,96.53,-52.3475,-8.29102
22,111.28,14,63.99,-41.509,-36.0832
2,51.32,4,44.4,-4.6679,-1.79184
18,99.24,3,42.03,-2.42705,-1.76335
18,99.04,18,72.44,-34.9716,-28.3194
19,102.02,38,112.24,33.7466,4.14355
16,93.25,35,106.28,3.90732,9.20504
24,117.32,18,72.45,-62.1213,-25.0986
26,123.36,11,58.39,1.98054,0.278346
13,84.14,13,62.45,25.3766,11.8333
18,99.39,14,64.46,-27.8626,-13.5895
18,99.52,39,114.5,33.257,7.06899
38,159.33,27,90.38,-49.6273,-6.09346
36,153.01,15,66.34,-31.0495,-7.74149
28,129.44,9,54.49,-67.1969,-28.5234
33,144.06,10,56.27,-87.7004,-39.0467
10,75.5,18,72.56,-67.6148,-18.1173
39,161.99,5,46.07,44.9463,13.7415
28,129.15,31,98.05,-29.9444,-23.3951
21,108.17,13,62.25,-36.1494,-67.9869
38,159.43,27,90.51,50.9888,84.8595
22,111.28,20,76.55,-5.91667,-12.6883
35,150.15,20,75.99,-14.0037,-5.37551
34,147.21,22,80.13,-14.3395,-12.4651
6,63.09,23,82.48,41.7233,16.8573
31,138.54,28,92.36,-19.4504,-20.1415
9,72.4,19,74.26,52.5118,50.71
31,138.01,24,84.51,28.2106,32.4525
